
Video time	m	s	boosterSpeed km/h	boosterAlt km	shipSpeed km/h	shipAlt km
127.679374	6	NaN	115	0	16371	144
127.879313	6	NaN	113	0	16390	144
128.080823	6	45	108	0	16413	144
128.335656	6	45	104	0	16432	144
128.552786	6	45	101	0	16455	44
128.830489	6	45	96	0	1	444
129.032678	6	46	93	0	1	4449
129.217801	6	46	90	0	1	14
129.427593	6	46	87	0	45	144
129.648941	6	46	83	0	46	444
129.841179	6	46	80	0	16566	444
130.031824	6	47	77	0	1	144
130.208331	6	47	75	0	4660	144
130.415735	6	47	72	0	1426	144
130.588772	6	47	69	0	6637	144
130.783245	6	47	66	0	6656	144
131.001557	6	48	63	0	6674	144
131.21373	6	48	60	0	6692	144
131.385324	6	48	57	0	6711	144
131.577119	6	48	55	0	6725	144
131.740841	6	48	53	0	6743	144
131.92864	6	49	50	0	6758	144
132.101129	6	49	48	0	6777	144
132.27198	6	49	46	0	6792	144
132.448584	6	49	43	0	6811	144
132.655817	6	49	41	0	6830	144
132.877873	6	49	37	0	6848	144
133.085394	6	50	35	0	6867	144
133.268582	6	50	31	0	6891	144
133.500477	6	40	48	0	6906	144
133.66735	6	50	46	0	6921	144
133.822978	6	50	43	0	6935	144
133.990341	6	51	41	0	6952	144
134.171981	6	51	18	0	6972	144
134.393976	6	51	16	0	6989	144
134.549949	6	51	14	0	7005	144
134.727998	6	51	13	0	7021	144
134.893653	6	51	12	0	7037	144
135.085549	6	52	12	0	7056	144
135.254461	6	52	11	0	7072	144
135.460926	6	52	10	0	7094	144
135.681202	6	52	9	0	7113	144
135.874196	6	52	9	0	7132	144
136.045818	6	53	9	0	7143	144
136.197672	6	53	9	0	7161	144
136.366048	6	53	9	0	7179	144
136.541942	6	53	9	0	7191	144
136.695404	6	53	8	0	7210	144
136.862238	6	53	6	0	7225	144
137.030369	6	54	5	0	17239	144
137.194954	6	54	3	0	17257	144
137.352354	6	54	2	0	17274	144
137.517991	6	54	2	0	17290	144
137.690117	6	54	2	0	17306	144
137.851608	6	54	3	0	17322	144
138.031255	6	55	3	0	17341	144
138.21846	6	55	3	0	17356	144
138.381677	6	55	2	0	17374	144
138.547452	6	55	2	0	17390	144
138.735046	6	55	1	0	17412	144
138.945836	6	56	1	0	17429	144
139.110775	6	56	1	0	17446	144
139.279813	6	56	1	0	17462	144
139.449359	NaN	NaN	1	0	17478	144
139.640932	NaN	NaN	0	0	17495	144
139.817912	NaN	NaN	0	0	17513	144
140.020129	NaN	NaN	0	0	17535	144
140.209578	NaN	NaN	0	0	17544	144
140.417393	NaN	NaN	1	0	17568	144
140.617893	NaN	NaN	1	0	17587	144
140.825499	NaN	1	1	0	17611	144
141.012984	NaN	7	1	0	7631	144
141.300885	6	58	0	0	7667	144
141.536993	6	58	0	0	7684	144
141.735883	6	58	0	0	7707	144
141.920902	6	59	0	0	7727	144
142.119244	6	59	0	0	7744	144
142.308357	6	59	0	0	7764	144
142.519951	6	59	0	0	7784	144
142.698925	6	59	0	0	7810	144
142.97854	7	0	0	0	7830	144
143.20122	7	0	0	0	7851	144
143.395277	7	0	0	0	7871	144
143.611608	7	0	0	0	7897	144
143.90496	7	0	0	0	7921	144
144.137244	7	1	0	0	7944	144
144.334011	7	1	0	0	7961	144
144.501687	7	1	0	0	7982	144
144.671825	7	1	0	0	7998	144
144.836153	7	1	0	0	801	144
144.993869	7	2	0	0	8028	144
145.294457	7	2	0	0	8070	144
145.561964	7	2	0	0	8091	144
145.890492	7	2	0	0	8125	144
146.107427	7	3	0	0	8149	144
146.329775	7	3	0	0	8170	144
146.560522	7	3	0	0	8196	144
146.782335	7	3	0	0	821	144
